"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"23000","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 1:3","Que anjo Deus enviou a Elias, para confrontar os mensageiros de Acazias?","O anjo do Senhor","Gabriel","Miguel","Nenhum anjo, Deus falou diretamente","0","","","","","","rascunho (IA)"
"23001","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 2:11","Como Elias foi levado ao céu, diante de Eliseu?","Ele simplesmente desapareceu","Num carro de fogo, num redemoinho","Numa nuvem brilhante","Por um anjo que o carregou","1","","","","","","rascunho (IA)"
"23002","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 2:9","O que Eliseu pediu a Elias, antes de ele ser levado?","Um novo manto","Sabedoria como a de Salomão","Uma porção dobrada do seu espírito","Riquezas e poder","2","","","","","","rascunho (IA)"
"23003","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 2:14","O que aconteceu quando Eliseu feriu as águas do Jordão com o manto de Elias?","Nada aconteceu","As águas se tornaram doces","Um peixe grande apareceu","As águas se dividiram","3","","","","","","rascunho (IA)"
"23004","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 4:1","O que Eliseu fez para ajudar uma viúva endividada, multiplicando o seu azeite?","Encheu muitos vasos com o pouco azeite que ela tinha","Deu-lhe dinheiro do seu próprio bolso","Pediu ao rei que perdoasse a dívida","Orou para que a dívida desaparecesse","0","","","","","","rascunho (IA)"
"23005","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 4:35","O que Eliseu fez pelo filho da mulher sunamita, que havia morrido?","Abençoou-o antes de partir","Ressuscitou-o","Curou-o de uma febre","Profetizou sobre seu futuro","1","","","","","","rascunho (IA)"
"23006","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 5:1","Quem era Naamã, o general sírio curado da lepra por Eliseu?","Sacerdote sírio","Embaixador da Síria","Comandante do exército da Síria","Rei da Síria","2","","","","","","rascunho (IA)"
"23007","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 5:14","Onde Naamã mergulhou sete vezes, para ser curado da lepra?","No mar Morto","No rio Eufrates","No mar Vermelho","No rio Jordão","3","","","","","","rascunho (IA)"
"23008","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 5:20","Quem tentou enganar Naamã, pedindo presentes em nome de Eliseu, sem autorização?","Geazi","Obadias","Baruque","Servos do rei","0","","","","","","rascunho (IA)"
"23009","2REIS_COMPLETO","2026-08-22","IA (Claude)","1","2 Reis","AT","","","2Rs 5:27","Que castigo veio sobre Geazi, por sua ganância e mentira?","Foi expulso do reino","A lepra de Naamã se apegou a ele","Ficou surdo","Perdeu a fala","1","","","","","","rascunho (IA)"
